,NU_INSCRICAO,NU_ANO,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ST_CONCLUSAO,TP_ESCOLA,NO_MUNICIPIO_ESC,TP_DEPENDENCIA_ADM_ESC,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
1248662,160000629757,2016,Altos,PI,16.0,M,3,1,,,Altos,460.4,582.4,594.6,431.1,620.0
1253879,160000170225,2016,Altos,PI,19.0,M,1,1,,,Altos,626.1,648.3,557.7,762.6,720.0
1255703,160000172842,2016,Altos,PI,27.0,F,1,1,,,Altos,406.9,462.7,464.6,424.4,380.0
1257902,160000177927,2016,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,455.0,426.4,465.0,443.9,660.0
1259177,160002238048,2016,Altos,PI,34.0,M,2,2,Altos,2.0,Altos,419.6,383.6,384.2,461.7,180.0
1259729,160000152246,2016,Altos,PI,37.0,M,1,1,,,Altos,,,,,
1262268,160000188405,2016,Altos,PI,22.0,F,1,1,,,Teresina,466.4,481.4,533.7,478.3,400.0
1264059,160000160011,2016,Altos,PI,23.0,M,1,1,,,Altos,452.0,434.6,433.3,414.6,340.0
1265393,160000143070,2016,Altos,PI,28.0,F,1,1,,,Altos,,,,,
1271015,160000183467,2016,Altos,PI,23.0,M,1,1,,,Altos,,,,,
1275349,160000191332,2016,Altos,PI,32.0,M,1,1,,,Altos,435.7,537.5,415.7,408.9,480.0
1280498,160000211598,2016,Altos,PI,34.0,M,1,1,,,Altos,425.9,537.6,549.6,492.8,440.0
1281812,160002272620,2016,Altos,PI,18.0,M,2,2,Teresina,1.0,Altos,570.9,662.1,645.9,739.3,720.0
1286496,160002238514,2016,Altos,PI,17.0,F,2,2,Corrente,2.0,Corrente,445.6,408.6,432.9,426.0,540.0
1291611,160000216367,2016,Altos,PI,15.0,M,3,1,,,Altos,541.0,550.4,578.8,485.5,640.0
1294479,160002547370,2016,Altos,PI,20.0,F,2,2,Altos,2.0,Altos,497.5,516.5,496.0,370.9,480.0
1308003,160000330721,2016,Altos,PI,43.0,F,1,1,,,Altos,,,,,
1322771,160008612194,2016,Altos,PI,19.0,F,1,1,,,Altos,464.9,507.2,508.7,463.0,440.0
1330245,160000031464,2016,Altos,PI,18.0,F,3,1,,,Altos,438.0,476.1,494.7,546.5,560.0
1339438,160000490409,2016,Altos,PI,18.0,M,1,1,,,Altos,604.9,602.7,580.8,560.6,680.0
1342592,160000465800,2016,Altos,PI,46.0,M,3,1,,,Altos,540.7,523.9,588.7,398.6,540.0
1349455,160000658457,2016,Altos,PI,17.0,M,2,2,Altos,2.0,Altos,484.3,439.5,519.4,652.4,640.0
1353349,160000221671,2016,Altos,PI,20.0,F,1,1,,,Altos,,,,,
1356353,160002296948,2016,Altos,PI,17.0,F,2,2,Altos,2.0,Altos,385.8,552.4,561.0,430.5,600.0
1357931,160000469674,2016,Altos,PI,16.0,M,3,1,,,Altos,429.1,430.5,406.7,519.3,320.0
1359895,160002303591,2016,Altos,PI,19.0,F,2,2,Altos,2.0,Altos,438.3,388.6,389.8,475.1,200.0
